analyse,분석하다
approach,접근하다
area,영역
assess,재다/ 평가하다
assume,가정하다
authority,지휘권
available,이용가능한
benefit,이익
concept,개념
consist,-로 이루어져있다
constitute,구성하다
context,맥락
contract,계약
create,만들어내다
data,자료
define,정의내리다
derive,얻다/ 비롯되다
distribute,분배하다
economy,경제
environment,환경
establish,설립하다
estimate,추정하다
evident,명백한
export,수출하다
factor,요소
finance,재정
formula,공식
function,기능
identify,확인하다/ 발견하다
income,소득
indicate,나타내다
individual,개인의
interpret,해석하다/ 설명하다
involve,포함하다
issue,주제
labour,노동
legal,합법의
legislate,법률을 제정하다
major,주된
method,방법
occur,발생하다
percent,퍼센트
period,기간
policy,정책
principle,원리
proceed,계속 진행하다
process,과정
require,요구하다
research,연구하다
respond,반응하다
role,역할
section,부분
sector,부문/ 부채꼴
significant,중요한
similar,비슷한
source,원천
specific,특정한
structure,구조
theory,이론
vary,다르다
achieve,기록물
acquire,취득하다
administrate,관리하다
affect,영향을 미치다
appropriate,적절한
aspect,측면
assist,주장하다
category,카테고리
chapter,(책의) 장
commission,위원회/ 수수료
community,공동체
complex,복잡한
compute,계산하다
conclude,결론을 내리다
conduct,구성하다
consequent,결과적인
construct,건설하다
consume,소비하다
credit,신용
culture,문화
design,디자인
distinct,뚜렷한
element,요소
equate,동일시하다
evaluate,평가하다
feature,틍징
final,마지막
focus,집중
impact,영향
injure,부상당하다
institute,기관/ 도입하다
invest,투자하다
item,항목/ 물품
journal,신문
maintain,유지하다
normal,일반적인
obtain,얻다
participate,참여하다
perceive,인식하다
positive,긍정적인
potential,잠재적인
previous,이전의
primary,기초적인
purchase,구매하다
range,범위/ 다양성
region,지역
regulate,규제하다
relevant,관계있는
reside,살다
resource,자원
restrict,제한하다
secure,보호하다
seek,찾다
select,고르다
site,장소
strategy,전략
survey,조사
text,문자
tradition,전통
transfer,옮기다/ 환승하다
alternative,대체의
circumstance,환경
comment,댓글/ 논평
compensate,보상하다
component,요소
consent,동의(하다)
considerable,상당한
constant,끈임없는
constrain,강요하다/ 제한하다
contribute,기여하다
convene,소집하다
coordinate,조직화하다
core,핵심
corporate,기업의
correspond,일치하다
criteria,기준
deduce,추론하다
demonstrate,입증하다
document,문서
dominate,지배하다
emphasis,강조하다
ensure,보장하다
exclude,제외하다
framework,뼈대
fund,자금
illustrate,삽화를 그리다
immigrate,이주하다
imply,내재하다
initial,초기의
instance,사례
interact,상호작용하다
justify,정당화하다
layer,층
link,관련
locate,위치를 찾아내다/ 두다
maximise,극대화하다
minor,작은(중요x)/ 미성년자
negate,무효화하다
outcome,결과
partner,동반자
philosophy,철학
physical,실제의/ 육체의
proportion,비율
publish,출판하다
react,반응하다
register,등록하다
rely,의존하다
remove,제거하다
scheme,전략
sequence,순서/ 연속적인 사건들
sex,성별
shift,변화
specify,명시하다
sufficient,충분한
task,일/ 과제
technical,기술적인
technique,기술
technology,기술
valid,유효한
volume,부피/ 음량
access,접근하다
adequate,적절한
annual,연간의
apparent,분명한
approximate,근사치인
attitude,태도
attribute,-의 결과로 보다
civil,시민의
code,코드
commit,저지르다
communicate,소통하다
concentrate,집중하다
confer,상의하다/ 수여하다
contrast,대조적인
cycle,자전거/ 주기
debate,토론하다
despite,-에도 불구하고
dimension,차원/ 규모
domestic,국내의
emerge,드러나다
error,오류
ethnic,민족의
goal,목표
grant,승인하다/ 보조금
hence,그러므로
hypothesis,가설
implement,시행하다/ 도구
implicate,연루되었음을 보여주다
impose,도입하다/ 부과하다
integrate,통합시키다
internal,내적의
investigate,조사하다
job,직업
label,상표
mechanism,기계장치/ 방법
obvious,분명한
occupy,차지하다/ 사용하다
option,선택사항
output,생산량/ 출력
overall,전반적인
parallel,수평의
parameter,한도
phase,구간
predict,예측하다
principal,교장/ 주요한
prior,이전의
professional,전문적인
project,계획/ 과제
promote,승진하다/ 촉진하다
regime,정권/ 제도
resolve,해결하다
retain,유지하다
series,연속/ 시리즈
statistic,통계
status,지위
stress,스트레스
subsequent,그 다음의
sum,합
summary,요약
undertake,착수하다/ 약속하다
academy,(특수)학교
adjust,조정하다
alter,변경하다/ 고치다
amend,개정하다
aware,알고있는
capacity,능력/ 용량
challenge,도전
clause,절/ 조항
compound,혼합물
conflict,논쟁
consult,상담하다
contact,연락처
decline,감소
discrete,별개의
draft,원고/ 초안
enable,가능하게 하다
energy,활기
enforce,강요하다/ 집행하다
entity,독립체
equivalent,동등한
evolve,진화하다
expand,팽창하다
expose,노출시키다/ 폭로하다
external,외적인
facilitate,용이하게 하다
fundamental,기초적인
generate,생산하다
generation,시대
image,이미지
liberal,자유민주적인/ 진보의
licence,면허/ 허가하다
logic,논리
margin,남는 수익/ 여백
medical,의학의
mental,정신의
modify,수정하다
monitor,지켜보다
network,네트워크
notion,개념
objective,객관적인
orient,지향하게 하다
perspective,관점
precise,정교한
prime,주요한
psychology,심리학
pursue,추구하다
ratio,비율
reject,거절하다
revenue,수익
stable,안정적인
style,스타일
substitute,대체하다
sustain,유지하다
symbol,상징
target,목표 대상
transit,수송
trend,추세
version,형태
welfare,복지
whereas,반면
abstract,추상적인
accurate,정확한
acknowledge,인정하다
aggregate,합계
allocate,할당하다
assign,맡기다/ 파견하다
attach,붙이다
author,작가
bond,유대감
brief,간략한
capable,-을 할 수 있는
cite,인용하다
cooperate,협력하다
discriminate,차별하다
display,전시하다
diverse,다양한
domain,영역
edit,편집하다
enhance,향상시키다
estate,자산
exceed,넘어서다
expert,전문가
explicit,분명한
federal,연방제의
fee,요금
flexible,유연한
furthermore,게다가
gender,성별
ignorant,무지한
incentive,장려책
incidence,발생정도
incorporate,포함하다
index,색인
inhibit,거주하다
initiate,착수시키다
input,입력
instruct,지시하다
intelligent,총명한
interval,간격
lecture,강의
migrate,이주하다
minimum,최소의
ministry,부처
motive,동기
neutral,중간의
nevertheless,-에도 불구하고
overseas,해외로
precede,-에 앞서다
presume,가정하다
rational,이성적인
recover,회복하다
reveal,드러내다
scope,기회/ 범위
subsidy,보조금
tape,테이프
trace,추적하다
transform,변형하다
transport,교통
underlie,기저를 이루다
utilise,사용하다
adapt,적응하다
adult,성인
advocate,지지하다
aid,원조
channel,채널
chemical,화학의
classic,고전적인
comprehensive,포괄적인
comprise,구성하다
confirm,확인하다
contrary,반대의
convert,전환시키다
couple,커플
decade,10년
definite,분명한
deny,부인하다
differentiate,구별하다/ 구분짓다
dispose,처리하다
dynamic,역동적인
eliminate,제거하다
empirical,실증적인
equip,장비를 갖추다
extract,추출하다
file,파일
finite,한정된
foundation,토대
globe,지구본/ 지구의
grade,학년
guarantee,보장하다
hierarchy,계급
identical,똑같은
ideology,이념
infer,추론하다
innovate,혁식적인
insert,삽입하다
intervene,개입하다
isolate,고립시키다
media,매체
mode,방식
paradigm,전형적인 예
phenomenon,형상
priority,우선
prohibit,금지하다
publication,출판/발행/발표
quote,인용
release,풀어주다/놓아주다
reverse,뒤바꾸다
simulate,모의실험하다
sole,유일한/혼자의
somewhat,어느 정도
submit,제출하다
successor,후임자
survive,생존하다
thesis,논문/ 논지
topic,주제
transmit,전송하다
ultimate,궁극적인
unique,특이한
visible,볼 수 있는
voluntary,자발적인
abandon,버리다
accompany,동반하다
accumulate,모으다
ambiguous,모호한
append,덧붙이다
appreciate,진가를 알아보다
arbitrary,임의적인
automate,자동화 시키다
bias,편견
chart,도표
clarify,명확하게 하다
commodity,상품
complement,보완하다
conform,순응하다
contemporary,동시대의
contradict,부정하다
crucial,중대한
currency,통화
denote,의미하다
detect,발견하다
deviate,벗어나다
displace,대신하다
drama,드라마
eventual,결국
exhibit,전시하다
exploit,착취하다
fluctuate,변동을 거듭하다
guideline,방침
highlight,강조하다
implicit,내재적인
induce,설득하다
inevitable,불가피한
infrastructure,사회기반 시설
inspect,점검하다
intense,극심한
manipulate,조작하다
minimise,최소화하다
nuclear,원자력의
offset,상쇄하다
paragraph,문단
plus,더하기
practitioner,의사;변호사/ 현역
predominant,두드러진
prospect,가망
radical,급진적인
random,무작위의
reinforce,강화하다
restore,회복시키다
revise,변경하다/ 개정하다
schedule,일정을 잡다
tense,긴장한
terminate,끝나다
theme,주제
thereby,그렇게 함으로써
uniform,획일적인
vehicle,운송수단
via,-통해
virtual,사실상의
visual,시각의
widespread,널리퍼진
accommodate,수용하다
analogy,비유
anticipate,예상하다
assure,장담하다
attain,이루다
behalf,이익
bulk,대부분
cease,중단시키다
coherent,일관성 있는
coincide,동시에 일어나다
commence,시작되다
compatible,양립가능한
concurrent,공존하는
confine,국한시키다
controversy,논란
converse,대화하다/ 정반대
device,기구
devote,바치다
diminish,줄이다
distort,왜곡하다
duration,기간
erode,침식시키다
ethic,윤리
format,구성방식
found,설립하다
inherent,내재하는
insight,통찰력
integral,필수적인
intermediate,중간의
manual,수동의
mature,성숙한
mediate,중재하다
medium,중간의
military,군사의
minimal,최소의
mutual,상호간의
norm,표준
overlap,겹치다
passive,수동적인
portion,부분
preliminary,예비의
protocol,외교 의례
qualitative,질적인
refine,개선하다
relax,진정하다
restrain,억제하다
revolution,혁명
rigid,엄격한
route,경로
scenario,시나리오
sphere,구
subordinate,종속된
supplement,보조
suspend,매달다/ 중단하다
team,팀
temporary,일시적인
trigger,방아쇠/ 촉발하다
unify,통일시키다
violate,위반하다
vision,시야
adjacent,근접한
albeit,비록 -일지라도
assemble,모이다
collapse,붕괴되다
colleague,동료
compile,엮다/ 편집하다
conceive,상상하다
convince,설득하다
depress,우울하게 만들다
encounter,대응하다
enormous,거대한
forthcoming,다가오는
incline,경사
integrity,진실성
intrinsic,고유한
invoke,적용하다
levy,추가 부담금
likewise,비슷하게
nonetheless,그렇더라도
notwithstanding,-에도 불구하고
odd,이상한
ongoing,계속 진행되는
panel,판
persist,계속하다
pose,제기하다
reluctance,꺼림
so-called,이른바
straightforward,간단한
undergo,겪다
whereby,-하는